titolare	domanda_id	database
CHELODI ANDREA	980	itapat_1990_157
ODORE CARLO	593	itapat_1990_100
DONA' GIUSEPPE A CAVARIA CON PREMEZZO VARESE	416	itapat_1983_2
MAZZUCCHELLI ALDO QUADRELLI GIUSEPPE A CAVARIA VARESE	711	itapat_1982_2
MARIN MARCELLO CAVARZANO,BELLUNO	4123	itapat_1976_3
DITTA ANTONIO TURATTI A CAVARZERE, VENEZIA	7843	itapat_1977_2
MORSELLI GIOVANNI	625	itapat_1990_186
MORSELLI GIOVANNI	789	itapat_1990_92
MORSELLI GIOVANNI	243	itapat_1990_109
MORSELLI GIOVANNI	521	itapat_1990_78
MORSELLI GIOVANNI	888	itapat_1990_94
MORSELLI GIOVANNI	245	itapat_1990_101
MORSELLI GIOVANNI	565	itapat_1990_105
MORSELLI GIOVANNI	340	itapat_1990_157
A CAVEZZO MODENA FERRETTI CARLO A CAMPOGALLIANO MODENA E ARTONI WALTER	3534	itapat_1970_3
MORSELLI GIOVANNI	848	itapat_1990_82
MORSELLI GIOVANNI	162	itapat_1990_145
AUDIODESIGN DI FRANCO TADDEI E C. S.N.C. A CAVRIAGO REGGIO EMILIA	2289	itapat_1984_1
NUOVA A.S.A.V. SNC DI LEONI FRANCO E LEONI ATTILIO	459	itapat_1990_110
GIORGETTI PAOLO	158	itapat_1990_167
AMBROSINI GIUSEPPE MARIO	158	itapat_1990_120
GRASSI FABIO	474	itapat_1990_169
NIERI GIUSEPPE A CECINA (LIVORNO)	18	itapat_1983_2
NIERI GIUSEPPE A CECINA LI P.ZZA GRAMSCI 30	2030	itapat_1986_2
NIERI GIUSEPPE A CECINA (LIVORNO) P.ZZA GRAMSCI N.27	423	itapat_1983_1
DELLA FIORE PIETRO TARGHETTINI ENRICO CELLATICA BRESCIA BRESCIA BONTEMPI EMILIANO	1393	itapat_1982_2
SGORBATI SERGIO	36	itapat_1990_17
ROSSI MOTORS DI ROSSI UGO E C. S.N.C. A CELLATICA BRESCIA	266	itapat_1986_1
ROSSI MOTORS DI ROSSI UGO E C. SNC	195	itapat_1990_0
TORRESAN GIAMPIETRO A THIONE VICENZA CELLERE GIOVANNI A BREGANZE VICENZA	632	itapat_1983_3
PAGANI PAOLA	434	itapat_1990_147
ROSSI MARIO A CENESELLI ROVIGO	4492	itapat_1970_1
GUIDETTI MAURO	700	itapat_1990_66
MARTINELLI MARCO	687	itapat_1990_57
MINARELLI GIUSEPPE A CENTO (FERRARA)	660	itapat_1982_3
GUIDETTI MAURO	23	itapat_1990_120
BARONE ANTONIO	899	itapat_1990_70
VISELLI ALESSANDRO	750	itapat_1990_194
LANZA ALESSANDRO	203	itapat_1990_132
USORINI GIUSEPPE A CERANO, NOVARA	7810	itapat_1968_4
MODERNA ACCOPPIATURA PIEMONTESE DI VISCONTI CARLO A CERANO NOVARA	2178	itapat_1968_1
USORINI GIUSEPPE A CERANO, NOVARA	7471	itapat_1969_1
FALCO ALBERTO	861	itapat_1990_62
DE FANTI GIOVANNI A CEREA VERONA DR.ING.ENRICO CAVALLINI VIA Q.SELLA 4 VERONA	7152	itapat_1968_4
POZZANI GIANFRANCO ANTONIO	204	itapat_1990_182
FADINI LUIGI A CEREA VERONA	4306	itapat_1970_4
POZZANI MAURIZIO	204	itapat_1990_182
MECCANICA FADINI S.N.C. DI FADINI LUIGI, GAETANO E CARLO	218	itapat_1990_172
MECCANICA FADINI S.N.C. DIFADINI LUIGI, GAETANO E CARLO	863	itapat_1990_86
FADINI LUIGI A CEREA VERONA	929	itapat_1969_3
DE FANTI GIOVANNI A CEREA VERONA DR.ING.ENRICO CAVALLINI VIA Q.SELLA 4 VERONA	7153	itapat_1968_4
CASTAGNA ROBERTO	675	itapat_1990_153
FERRARI MARZIO A CERIALE (SV)	2069	itapat_1988_3
FERRARI MARZIO A CERIALE (SV)	3838	itapat_1988_2
DE ROSSI ALESSANDRO	578	itapat_1990_182
CALABRESE NICOLA A CERIGOLA FOGGIA	5103	itapat_1976_2
CAZZANIGA EMILIO GIOVANNI	191	itapat_1990_137
CAZZANIGA EMILIO GIOVANNI	11	itapat_1990_109
TORNAGHI LUIGI	710	itapat_1990_162
SIOLI GIANCARLO CERNOBBIO COMO VPR VISMARA 10	1618	itapat_1981_3
VIGANO' PAOLO (20%)	598	itapat_1990_191
RADAELLI GIORGIO	930	itapat_1990_166
RADAELLI GIORGIO	67	itapat_1990_184
RADAELLI GIORGIO	437	itapat_1990_163
SCIGLIANO GIULIO	83	itapat_1990_186
VESMAPLAST S.N.C. DI ROBERTO TRINCA E C. A CERNUSCO S/NAVIGLIO MILANO	679	itapat_1986_3
ERBA LUIGI E ERBA DANTE A CERNUSCO SUL NAVIGLIO MILANO	2149	itapat_1974_2
F.LLI CAVALLIN DI RENZO RAUL E LUCIANO CAVALLIN A CERNUSCO SUL NAVIGLIO MILANO	1203	itapat_1974_1
BRAMBILLA GIOVANNI	311	itapat_1990_50
VERDERIO GIUSEPPE A CERNUSCO SUL NAVIGLIO MILANO	3100	itapat_1971_2
ERBA LUIGI E ERBA DANTE A CERNUSCO SUL NAVIGLIO MILANO	4905	itapat_1972_4
CUCCHI GIOVANNI E CUCCHI PIETRO A CERNUSCO SUL NAVIGLIO MILANO	206	itapat_1972_4
CONTI ADRIANO	145	itapat_1990_111
BOLLINI ALESSANDRO CARDINALI ARRIGO A EMPOLI FIRENZE A CERTALDO FIRENZE NINCI VASCO BOLLINI CARLO	6963	itapat_1978_2
CECCARELLI MASSIMO	119	itapat_1990_46
BOCELLI ROBERTO	842	itapat_1990_5
SITAR GIAMMARIA	355	itapat_1990_81
SITAR GIAMMARIA	402	itapat_1990_68
BRAMBILLA MASSIMO A CERTOSA DI PAVIA PAVIA	4858	itapat_1969_3
RIZZI FRANCO	85	itapat_1990_51
PAGANINI MARIO	210	itapat_1990_105
MARIANI ROBERTO	556	itapat_1990_111
PAGANINI MARIO	853	itapat_1990_135
PAGANINI MARIO	209	itapat_1990_105
TABANELLI GIORGIO	642	itapat_1990_172
RICCHIO MASSIMO CERVIGNANO D'ADDA (MILANO) BONCINELLI LUCIANO PESCHIERA BORROMEO (MILANO)	3082	itapat_1988_2
GREGORI GIORGIO	289	itapat_1990_60
FONTANA PAOLO	129	itapat_1990_91
FONTANA PAOLO	238	itapat_1990_121
TONELLI ALESSANDRO	721	itapat_1990_126
ORIO MARIA TERESA	331	itapat_1990_110
SERRA ROBERTO	678	itapat_1990_22
DALLA COSTA GIOVANNI A CESANO BOSCONE MILANO	6050	itapat_1971_2
DAGRADA ANGELO A CESANO BOSCONE MILANO	2718	itapat_1971_2
MARININO NATALE A CESANO BOSCONE MILANO ZANISI CARLO A ABBIATEGRASSO MILANO POZZI SERGIO A ABBIATEGRASSO MILANO MARTELLO GIUSEPPE A CESANO BOSCONE MILANO	3266	itapat_1980_1
ROSSI MASSIMO	577	itapat_1990_51
FARANDA GIUSEPPE	774	itapat_1990_47
COMOTTI PRIMO A CESANO MADERNO MILANO VIGANO GIUSEPPE A MONZA MILANO	5997	itapat_1969_1
COMOTTI PRIMO A CESANO MADERNO MILANO	5075	itapat_1968_3
FERRARI MARIO A CESATE MILANO	3943	itapat_1969_1
FERRARI MARIO CESATE VILLAGGIO INA MILANO VILLAGGIO INA	4278	itapat_1978_1
CSM DI CATTANEO CESARE E DAVIDE SAS	105	itapat_1990_141
MARINI LUIGI A CESENA FORLI'	2678	itapat_1980_1
TONTINI STEFANO E FRANCHINI ANDREA A CESENA (FO)	3135	itapat_1988_3
BONDINI PAOLO A CESENA FO	1280	itapat_1984_3
CECCARELLI ROBERTO	802	itapat_1990_99
MARIANI MARIO A TORRE DEL MORO FRAZ.CESENA FORLI	4276	itapat_1972_4
MARIANI MARIO A CESENA FORLI	4125	itapat_1974_1
FIORI ALESSANDRO	14	itapat_1990_145
GRASSI GIUSEPPE A CESENA FO	2754	itapat_1985_3
BONDINI PAOLO A CESENA FORLI	712	itapat_1973_2
ZAMBIANCHI MASSIMO	443	itapat_1990_92
LEONI ALBERTO A CALABRINA DI CESENA FORLI	8294	itapat_1978_2
MARINI LUIGI A CESENA FORLI	5678	itapat_1971_1
BENEDETTI CLAUDIO A CESENA FORLI	5108	itapat_1973_2
ZANOLI RICCARDO	836	itapat_1990_127
MARIANI MARIO A CESENA FO	3651	itapat_1984_2
ATI DI MARIANI MARIO & C. S.N.C.	376	itapat_1990_40
A CESENA FORLI PEPOLI GIUSEPPE	4920	itapat_1970_2
MARALDI GIUSEPPE	154	itapat_1990_12
GRASSI GIUSEPPE A CESENA FO	2753	itapat_1985_3
PERRONE GIOVANNI	999	itapat_1990_48
BRACHINI CARLO E BRACHINI MARCELLO A CEVOLI DI LARI, PISA	1856	itapat_1971_4
BALDUCCI SERGIO A CHAMPDEPRAZ AOSTA	1992	itapat_1982_2
VILLANI VITTORIO A CHARVENSOD AOSTA	6661	itapat_1972_4
VILLANI VITTORIO A CHARVENSOD, AOSTA	6504	itapat_1971_3
VILLANI VITTORIO A CHARVENSOD, AOSTA PONTE SUAZ 20	2957	itapat_1973_2
VILLANI VITTORIO A CHARVENDOS, AOSTA	655	itapat_1972_2
GALLO FRANCO	407	itapat_1990_50
ZANVETTORE MARIO	963	itapat_1990_15
VENTURINI UMBERTO	908	itapat_1990_90
BARBETTI E BIANCHI DI BARBETTI LUCIO E BIANCHI DARIO A CHIANCIANO TERME SIENA	315	itapat_1969_3
BIELLE DI BREDA LORENZO MAURIZIO E C. S.N.C. A CHIARI BRESCIA	3041	itapat_1987_1
BIELLE DI BREDA LORENZO MAURIZIO E C. S.N.C. A CHIARI BRESCIA	3040	itapat_1987_1
BONETTI FERRANTE A CHIARI BRESCIA BONETTI ALBERTO E BONETTI DARIO A RUDIANO BRESCIA	4235	itapat_1971_2
BONETTI FERRANTE A CHIARI BRESCIA BONETTI ALBERTO E BONETTI DARIO A RUDIANO BRESCIA	4236	itapat_1971_2
MARINI GIORGIO VAVASSORI GIOVANNI A CHIARI BRESCIA	224	itapat_1987_2
BONETTI FERRANTE A CHIARI BRESCIA BONETTI ALBERTO E BONETTI DARIO A RUDIANO BRESCIA	1412	itapat_1972_1
IMPROTA ALFREDO A CHIAVARI, GENOVA	4733	itapat_1973_1
BIANCHI DI LAVAGNA GIOVANNI BATTISTA A CHIAVARI, GENOVA	3846	itapat_1968_2
DE FINES PIETRO LORENZO E POZZI ANTONIO A CHIAVARI..GENOVA	696	itapat_1976_1
IMPROTA ALFREDO A CHIAVARI GENOVA	5749	itapat_1979_1
QUARANTA FRANCESCO E ZONZI ETTORE A CHIAVARI GENOVA	3429	itapat_1982_1
SPAGNOLI ADRIANO	776	itapat_1990_48
DE PEVERELLI LUCIANO A CHIAVENNA SONDRIO	5937	itapat_1969_1
BERNASCONI MAURO	147	itapat_1990_5
RICCI GIUSEPPE	150	itapat_1990_73
RICCI GIUSEPPE	658	itapat_1990_136
CALAFIORE ANTONIO MARIA	674	itapat_1990_105
ZUPPINI ROBERTO	316	itapat_1990_148
ZUPPINI ROBERTO	894	itapat_1990_85
ZUPPINI ROBERTO	618	itapat_1990_93
SALA ALESSANDRO	668	itapat_1990_125
CAVALLARIN FIORE E ROSSI GIOVANNI A CHIOGGIA VENEZIA	3972	itapat_1971_3
MAESTRINI CLAUDIO	816	itapat_1990_50
CONSONNI DOMENICO	875	itapat_1990_125
LUIGI SAVIO S.P.A. A CHIUSA S.MICHELE TORINO	3218	itapat_1975_3
LUIGI SAVIO S.P.A. A CHIUSA S.MICHELE TORINO	2047	itapat_1980_2
LUIGI SAVIO S.P.A. A CHIUSA SAN MICHELE TORINO	2994	itapat_1979_1
LUIGI SAVIO S.P.A. A CHIUSA S. MICHELE, TORINO	6333	itapat_1970_3
LUIGI SAVIO S.P.A. A CHIUSA S. MICHELE TORINO	3768	itapat_1970_1
LUIGI SAVIO S.P.A. A CHIUSA SAN MICHELE TORINO	3393	itapat_1980_3
LUIGI SAVIO S.P.A. A CHIUSA SAN MICHELE, TORINO	3626	itapat_1971_3
LUIGI SAVIO S.P.A. A CHIUSA SAN MICHELE TORINO	724	itapat_1978_3
SCARAMELLI MARCO	954	itapat_1990_131
SICE DI ROCCHI ROBERTO S.N.C.	620	itapat_1990_156
ROCCHI ROBERTO	907	itapat_1990_136
EZECHIELLI GIUSEPPE CHIUSI DELLA VERNA (AR) SANTUARIO	1161	itapat_1980_2
BOSIO ALBERTO	857	itapat_1990_46
NOZZOLI SERGIO	186	itapat_1990_194
CARLI CARLO	978	itapat_1990_69
BIANCHI ANTONIO A CIBIANA DI CADORE, BELLUNO	3968	itapat_1972_4
OFFICINA MECCANICA PISANI LUIGI A CILAVEGNA PAVIA	2192	itapat_1983_3
OFFICINA MECCANICA PISANI LUIGI A CILAVEGNA PAVIA	2279	itapat_1970_2
OFFICINA MECCANICA PISANI LUIGI A CILAVEGNA P VIA	5057	itapat_1976_1
OFFICINA MECCANICA PISANI LUIGI A CILAVEGNA PAVIA	7558	itapat_1968_4
SORDI MAURIZIO E MASSIMILIANO SPEZIA A CILAVEGNA PAVIA	300	itapat_1987_2
OFFICINA MECCANICA PISANI LUIGI A CILAVEGNA PAVIA	1490	itapat_1983_2
LOMBARDI PAOLO	615	itapat_1990_91
MARCHI DARIO A CIMONE TRENTO	4289	itapat_1972_3
CURTI VITTORIO BACCERINI GIULIANO CINISELLO BALSAMO VLE RINASCITA 127	2309	itapat_1979_3
BECCIANI RENATO E VALTORTA LUIGI A CINISELLO BALSAMO MILANO	6863	itapat_1968_3
CELAURO CLAUDIO	683	itapat_1990_1
FRANCHI FRANCO A CINISELLO BALSAMO MILANO	6730	itapat_1970_3
MIN TEC DI GALLI GIUSEPPE S.N.C. A CINISELLO BALSAMO MILANO	1911	itapat_1984_1
LIBRANDI GIOVANNI	151	itapat_1990_47
LIBRANDI GIOVANNI A CINISELLO BALSAMO MILANO	1443	itapat_1972_4
CAPPANNELLI ANTONIO A CINISELLO BALSAMO MAGNI FRANCO A VIMERCATE MASETTO OTELLO A MERATE	692	itapat_1986_2
BARZAGHI ANTONIO	817	itapat_1990_22
BOCUS GIOVANNI BATTISTA E MASCHERIN NORMA A CINISELLO BALSAMO MILANO	1722	itapat_1972_4
MIN TEC DI GIUSEPPE GALLI E C. S.N.C. A CINISELLO BALSAMO MILANO	2806	itapat_1983_1
MINTEC DI GIUSEPPE GALLI E C. S.N.C. A CINISELLO BALSAMO MILANO	1698	itapat_1983_1
MINTEC DI GALLI LUIGI E C.	378	itapat_1990_5
BONAVENTURA GIUSEPPE A CINISELLO BALSAMO MILANO	1052	itapat_1968_2
SPINOLO GIORGIO A CINISELLO BALSAMO MILANO REALI MARIO A MILANO	8568	itapat_1972_4
EURAND S.P.A. A CINISELLO BALSAMO MILANO DI ROBERTO FRANCO A MILANO	2744	itapat_1973_1
FERRARA LUIGI	410	itapat_1990_20
PARISI GIOVANNI A CIRIE, TORINO	3590	itapat_1972_4
MANGANELLI MARCO	432	itapat_1990_106
MOTTA ENRICO	645	itapat_1990_0
PREVITALI LUIGI	584	itapat_1990_14
COLOMBO GIOVANNI	344	itapat_1990_168
ROSSI ROBERTO	372	itapat_1990_94
MOTTA ENRICO	911	itapat_1990_27
GIULIANI GIUSEPPE	800	itapat_1990_21
BOSSI LUIGI	929	itapat_1990_147
GIULIANI GIUSEPPE	391	itapat_1990_10
BOSSI LUIGI	668	itapat_1990_88
GIULIANI GIUSEPPE	799	itapat_1990_21
COLCELLI ENZO	684	itapat_1990_139
BALDELLI MASSIMO E BRUSCHI MARIO A CITTA DI CASTELLO, PERUGIA	2402	itapat_1972_3
MENCARELLI ENZO	919	itapat_1990_27
CMC DI PONTI GIUSEPPE E C. S.N.C. A CITTA' DI CASTELLO,PERUGIA	2013	itapat_1986_3
CHIATTI ALBERTO GIANNINI FULVIA CITTA' DI CASTELLO PG FRAZ.CERBARA FIRENZE VIA KYOTO, 21	1190	itapat_1987_3
BIANCHINI GIUSEPPE MEARELLI ANGELO A CITTA' DI CASTELLO PG	2542	itapat_1978_3
MENCARELLI ENZO	155	itapat_1990_46
RANIERI RICCARDO	578	itapat_1990_7
DE MATTHAEIS FRANCO, LANARI ALES SIO, MASTRANGELI G.BATTISTA, ROSSI DARIO E ROSSI PIETRO A CITTA DI CASTELLO PERUGIA	2467	itapat_1971_3
BIANCHINI GIUSEPPE MEARELLI ANGELO A CITTA' DI CASTELLO PERUGIA ITALIA	784	itapat_1978_2
COLCELLI ENZO	260	itapat_1990_174
BIANCHINI GIUSEPPE A TRESTINA PERUGIA	1068	itapat_1982_2
C.M.C. DI GIUSEPPE PONTI A CITTA' DI CASTELLO,PERUGIA	1711	itapat_1984_3
ULIVIERI GIOVANNI BATTISTA A CITTA DI CASTELLO PERUGIA	6239	itapat_1968_2
A CITTA' DI CASTELLO,PERUGIA CMC DI PONTI GIUSEPPE E C. S.N.C.	2012	itapat_1986_3
GIORNELLI RITA	448	itapat_1990_133
SANTANGELO ANTONIO	433	itapat_1990_86
PAOLO DE NICOLA SPA	83	itapat_1990_111
MARTINI FRANCO	735	itapat_1990_46
PAOLO DE NICOLA S.P.A.	265	itapat_1990_163
OFFICINE MECCANICHE PAOLO DE NICOLAS.R.L. ORA PAOLO DE NICOLA S.P.A.	95	itapat_1990_88
ZANNINI GIANFRANCO A CITTADELLA PADOVA	5027	itapat_1971_3
AM ITALY DI ALESSANDRO MILANI	153	itapat_1990_189
SERVICE ELECTRIC E ELECTRONIC DI RODOLFO REALINI A VITTIGLIO VARESE	175	itapat_1987_2
PONZIELLI GIUSEPPE	976	itapat_1990_103
P0NZIELLI GIUSEPPE	53	itapat_1990_155
PANZERI MARIO A CIVATE COMO	3090	itapat_1983_2
MARTINELLI FRANCESCO	530	itapat_1990_30
MARTINELLI FRANCESCO	247	itapat_1990_166
MARTINELLI FRANCESCO	482	itapat_1990_134
MARTINELLI FRANCESCO	155	itapat_1990_39
TESTALEPRE GIORGIO	837	itapat_1990_64
RIGANELLI SERGIO	982	itapat_1990_8
RIGANELLI SERGIO A CIVITACASTELLANA,VITERBO	1501	itapat_1984_1
ROSSI WALTER E ROSSI ROBERTO A CIVITANOVA MARCHE MC	658	itapat_1988_1
FERRARA GIOVANNI	612	itapat_1990_71
ROMAGNOLI MARCO	745	itapat_1990_127
FERRARA GIOVANNI	602	itapat_1990_49
FERRARA GIOVANNI	865	itapat_1990_37
A PORTO CIVITANOVA MARCHE MACERATA DE SIMONE ANTONIO	2034	itapat_1969_3
A PORTO CIVITANOVA MARCHE, DE SIMONE ANTONIO MACERATA	7300	itapat_1970_3
LONGHI GIANFRANCO	551	itapat_1990_45
FERRARA GIOVANNI	872	itapat_1990_35
FILIPPI ANGELO A CIVITAVECCHIA	5350	itapat_1978_1
STURIALE CLEMENTE E FILIPPI ANGELO A CIVITAVECCHIA ROMA	3227	itapat_1971_2
INNOCENTI GIUSEPPE	84	itapat_1990_90
MARTINI GIUSEPPE	422	itapat_1990_155
DAGRADA ANGELO A CLAINO CON OSTENO COMO	2049	itapat_1972_1
DAGRADA ANGELO A CLAINO CON OSTENO COMO	7814	itapat_1971_2
LA TECNICA DI PRETI GIANCARLO E FRATELLI S.N.C.	199	itapat_1990_147
DALMEC S.P.A. A CLES TRENTO E S.P.A. VITALI CARLO GIOVANNI E FIGLI	1396	itapat_1984_2
STUDIO 90 S.N.C. DI MANENTI ROBERTO & C.	281	itapat_1990_169
PERCASSI BERNARDO A CLUSONE BERGAMO PELIZZARI LUIGI BONICELLI FRANCO	3121	itapat_1983_2
MORRA GIANCARLO A COAZZOLO D ASTI ASTI DE BENEDICTIS VINCENZO A BOLOGNA E BALDI LUISELLA A TORINO PRESSO BALDI LUISELLA VIA S.ANTONIO DA PADOVA N.2 TORINO	1708	itapat_1980_3
SCAB DI FRANCO BATTAGLIA A COCCAGLIO BRESCIA	896	itapat_1973_1
SCAB DI FRANCO BATTAGLIA A COCCAGLIO,BRESCIA	3096	itapat_1978_2
A COCCAGLIO BRESCIA S.C.A.B. DI FRANCO BATTAGLIA	1193	itapat_1972_2
SCAB DI FRANCO BATTAGLIA A COCCAGLIO, BRESCIA	8045	itapat_1974_1
PONZIELLI GIUSEPPE	661	itapat_1990_58
PONZIELLI GIUSEPPE	657	itapat_1990_54
CORTI GIOVANNI A COCQUIO SANT ANDREA VARESE	4205	itapat_1973_1
GIULIANI GIULIANO A CODIGORO FE	645	itapat_1984_1
SCAGLIONI RENATO A CODOGNO MILANO	4659	itapat_1971_2
NUONUOVA PULIPORFID DI REGGIANI MARIA LUISA E ANSELMI STEFANO SNC	218	itapat_1990_97
NUONUOVA PULIPORFID DI REGGIANI MARIA LUISA E ANSELMI STEFANO SNC	309	itapat_1990_127
GIOVANETTI MARILENA	356	itapat_1990_143
ROMAGNOLI ROBERTO	135	itapat_1990_98
ORSELLI GIUSEPPE	374	itapat_1990_28
ORSELLI GIUSEPPE	327	itapat_1990_110
PORTA CLAUDIO	892	itapat_1990_126
PAGANI CLAUDIO	517	itapat_1990_91
PAGANI CLAUDIO	801	itapat_1990_108
PAGANI CLAUDIO	2	itapat_1990_109
PORTA CLAUDIO	120	itapat_1990_160
GABELLINI GIUSEPPE A COLBORDOLO PESARO	1390	itapat_1979_2
GABELLINI GIUSEPPE A COLBORDOLO PESARO	3813	itapat_1977_1
GABELLINI GIUSEPPE A COLBORDOLO PESARO	4394	itapat_1976_1
GABELLINI GIUSEPPE A COLBORDOLO PESARO	1884	itapat_1976_2
GABELLINI GIUSEPPE A COLBORDOLO PESARO	7074	itapat_1978_3
OMBRELLONIFICIO PLINIO S.N.C. DI POZZI MAURO & C.	60	itapat_1990_125
VALSECCHI CARLO PIATTI FRANCO BIANCHI BAZZI GIUSEPPE A COLICO COMO	2043	itapat_1983_2
POZZI GIANPAOLO	720	itapat_1990_56
VALSECCHI CARLO PIATTI FRANCO BIANCHI BAZZI GIUSEPPE A COLICO COMO	2948	itapat_1983_1
R.C. FRESATURE DI ROSSI BRUNO	7	itapat_1990_184
PICCIEFFE S.A.S. DI FABRIZIO TONINI & C.	239	itapat_1990_79
PICCIEFFE S.A.S. DI FABRIZIO TONINI & C.	711	itapat_1990_130
CASALI GIORGIO	808	itapat_1990_79
FRANCIOLI MARCO AURELIO A COLLE VAL D ELSA SIENA	3721	itapat_1974_1
CASALI GIORGIO A COLLE VAL D'ELSA,SIENA	4271	itapat_1979_3
CASALI GIORGIO A COLLE VAL D ELSA SIENA	4270	itapat_1979_3
CASALI GIORGIO A COLLE DI VAL D'ELSA SIENA	2617	itapat_1985_3
STEMBERGER PAOLO	837	itapat_1990_29
CASALI GIORGIO	423	itapat_1990_192
CASALI GIORGIO	536	itapat_1990_191
PICCIEFFE S.A.S. DI FABRIZIO TONINI & C.	496	itapat_1990_87
GRASSI SILVANO LOGI ELIO E PETRENI LORENZO A COLLE VAL D ELSA, SIENA	2955	itapat_1970_3
SANTIN MAURIZIO	734	itapat_1990_186
S.I.C.M.E.A. DI BIANCHI ENRICO E IONI FRANCESCO S.N.C. A GAIANO DI COLLECCHIO (PARMA)	3670	itapat_1982_3
ROSSI DANILO A S.MARTINO SINZANO..COLLECCHIO PARMA	6607	itapat_1975_3
GARATTI SERGIO	911	itapat_1990_45
ROSSI DANILO A FRAZ.S.MARTINO SINZ...COLLECCHIO PARMA	4624	itapat_1976_1
OFFICINA MECCANICA MANZINI GIOVANNIE FIGLI SNC. DI MANZINI GIORGIO E PAOLO A MANDREGOLO DI COLLECCHIO (PARMA)	4438	itapat_1980_3
BUCCELLA ANTONIO	397	itapat_1990_50
ROSSI FRANCO A COLLEFERRO ROMA	5432	itapat_1979_3
BELFORTE GIOVANNI LUIGI	4	itapat_1990_125
DEBENEDETTI SERGIO A COLLEGNO, TORINO	1368	itapat_1973_2
CAPRA ROBERTO	842	itapat_1990_89
PAGANELLI CLAUDIO	624	itapat_1990_169
PUCCINI ROBERTO A COLLESALVETTI LIVORNO E MARCNI MARIO A VADA LIVORNO	7504	itapat_1974_1
CODATTO ANTONIO	622	itapat_1990_157
LEVI FERRUCCIO	108	itapat_1990_144
RONCHI MARIO S.R.L. OFFICINE MECCANICHE A COLOGNO MOMZESE MILANO	2078	itapat_1986_3
ROSSI ROBERTO	202	itapat_1990_66
LANDOLINA MARCO A COLOGNO MONZESE	563	itapat_1975_2
RONCHI MARIO SRL OFFICINEMECCANICHE	544	itapat_1990_36
GIAMBRUNO FRANCESCO A COLOGNO MONZESE MILANO	5551	itapat_1968_1
CE.S.I. CENTRO STUDI INDUSTRIALI DITADDEI FRANCO & C. S.A.S.	775	itapat_1990_184
G. MENTASTI S.A.S. DI FRANCA MENTASTI	896	itapat_1990_102
RONCHI MARIO S.R.L. OFFICINEMECCANICHE	358	itapat_1990_47
GIAMBRUNO FRANCESCO A COLOGNO MONZESE MILANO	3652	itapat_1983_2
RONCHI MARIO SRL OFFICINEMECCANICHE	272	itapat_1990_38
LAGUZZI UMBERTO A COLOGNO MONZESE MILANO	1289	itapat_1974_3
LEVI FERRUCCIO	550	itapat_1990_174
OCIM DI SERGIO BRAMBILLA A COLOGNO MONZESE MILANO	1447	itapat_1983_3
BRANCATELLI GIUSEPPE A COLOGNO MONZESE MILANO	2533	itapat_1969_3
LEVI FERRUCCIO	547	itapat_1990_63
LEVI FERRUCCIO	705	itapat_1990_183
RONCHI MARIO S.R.L. OFFICINEMECCANICHE	382	itapat_1990_22
ABBIATI GIANALFREDO	676	itapat_1990_66
RONCHI MARIO SRL OFFICINEMECCANICHE	545	itapat_1990_36
RONCHI MARIO A COLOGNO MONZESE MILANO	7194	itapat_1969_3
LEVI FERRUCCIO	581	itapat_1990_138
RONCHI MARIO SRL OFFICINEMECCANICHE	546	itapat_1990_36
LEVI FERRUCCIO	828	itapat_1990_188
GHIDONI FAUSTO	754	itapat_1990_109
OCIM DI SERGIO BRAMBILLA A COLOGNO MONZESE MILANO	1446	itapat_1983_3
G. MENTASTI DI FRANCA MENTASTIS.A.S.	965	itapat_1990_34
G. MENTASTI DI FRANCA MENTASTIS.A.S.	270	itapat_1990_32
LEVI FERRUCCIO	116	itapat_1990_145
FERRARI ROBERTO	735	itapat_1990_92
SQUASSI GIOVANNI	295	itapat_1990_191
FABBRI MAURIZIO	684	itapat_1990_178
DONZELLI GIUSEPPE	460	itapat_1990_179
ROSSI DOMENICO	151	itapat_1990_170
MUTI LUCIANO LONGUELO BERGAMO PESSINA AGOSTINO MERONE COMO	1234	itapat_1980_3
AUGUSTO CACCIA A COMO MARCO CIMATTI A CASNATE COMO ENRICO GRASSELLI A TORNO COMO	1012	itapat_1985_3
MARELLI ALDO CAVARZAN ROBERTO A COMO	28	itapat_1982_3
CONTI MARIO FINO MORNASCO COMO	193	itapat_1979_2
AGAP LITOGRAFIA CARTOTECNICA DI CAPUTO FRANCESCO E C. S.N.C. ANZANO DEL PARCO COMO	1601	itapat_1987_3
FEDRE' CORNICI DI FUMAGALLI ANGELO E C. S.N.C. CASTELLO BRIANZA COMO	206	itapat_1988_1
CORTI ARTURO CORTI GIUSEPPE MALGRATE COMO	2164	itapat_1987_3
MUNDIALNYL DI MERONI GIUSEPPE	234	itapat_1990_158
SACCHET LORENZO VEGRO ALDURINO COMO SEREGNI DANTE SALA ADRIANO LIPOMO COMO	818	itapat_1979_1
PENSA CARLO MARIA ESINO LARIO COMO LOC. PIAZZONAGA ESINO LARIO COMO	2785	itapat_1981_3
AGUGLIA EMILIO A COMO PEDUZZI GIUSEPPE A CAPIAGO INTIMIANO COMO	6	itapat_1983_2
COLOMBO GIOVANNI A COMO MALSERVIGI EZIO A CERNOBBIO COMO BOZZONE AMEDEO AD APPIANO GENTILE COMO	678	itapat_1970_2
MENICHINI CARLO MERATE COMO	4848	itapat_1979_1
